outcome,effect_type,mean,q2.5,q97.5,rhat,ess_bulk,estimate_type,restaurant_id,pred_path,color_group,left_ok,right_ok,color_group_inner,color_group_innerdark,color_group_restwash,q1_lo,q1_hi
chicken_fish,NA,0.0166725182851685,-0.147572718713425,0.16970550170275,1.55924810309309,5.32006386622637,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.06426580324957003,0.09761083981990702
chicken_fish,NA,0.155387240204667,-0.367663097625,1.067034735775,3.05455518461436,3.4110367187033,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.21060710505043506,0.521381585459769
chicken_fish,NA,-0.0501976096101698,-0.9765233551625,0.494158101675,1.88289314657985,4.30166039031642,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.42537145064014426,0.3249762314198047
chicken_fish,NA,-0.121418740234364,-0.3184767188475,0.04183560780825,1.43665571896344,46.1679068064744,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.21333515009552473,-0.02950233037320328
chicken_fish,NA,0.0635742695051174,-0.078413741264,0.24207372168725,1.55040789859236,25.5361993436332,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.01818273634979331,0.1453312753600281
chicken_fish,NA,0.152817527363908,-0.01768092907,0.35465732347575,1.4672011079514,40.8666194109101,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,0.05783327926550237,0.24780177546231363
chicken_fish,NA,-0.0184159840531602,-0.20926414123475,0.132927708118,1.54096551913038,23.519646380897,Restaurant,SRQS8F7JWA9MZ,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/chicken_fish/plots/SRQS8F7JWA9MZ.png,Animal,TRUE,TRUE,Animal_inner,Animal_innerdark,Animal_restwash,-0.1057098231737597,0.0688778550674393
vegetarian,NA,-0.0310619960323,-0.2725254225,0.20951796,1.00209401793757,443.439758979187,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/vegetarian/plots/2HRX9P6HKXA8V.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.1540322466700551,0.0919082546054551
vegetarian,NA,-0.0284932177111333,-0.2514540675,0.1790191625,1.00881622526541,265.49999914353,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/vegetarian/plots/2HRX9P6HKXA8V.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.13830781720092922,0.0813213817786626
vegetarian,NA,0.00331336240683333,-0.2246839065,0.22854086,1.00586687090042,371.625373887593,Restaurant,2HRX9P6HKXA8V,../../model_fits/finalized_redone_trunc_cp/a5_customer_day/vegetarian/plots/2HRX9P6HKXA8V.png,Plant-based,TRUE,TRUE,Plant-based_inner,Plant-based_innerdark,Plant-based_restwash,-0.11230520047581972,0.11893192528948639
