outcome,exposure_group,exposure_type,mean,mean_exp,mean_exp_p10,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group
meat,vegetarian,Count,0.06765864847381486,NA,1.0063598964417169,0.03922071315328133,0.09531017980432493,1.000284693991659,Restaurant,ED5J990H5VAZT,Animal
meat,vegetarian,Count,-0.01005033585350145,NA,0.9993412743428759,-0.020202707317519466,0.009950330853168092,1.0005258984952454,Restaurant,W8T41JZK0ZMEP,Animal
meat,vegetarian,Proportion,0.6043159668533296,NA,1.0598238743612773,0.13976194237515863,1.0331844833456545,0.9998074671469165,Restaurant,SRQS8F7JWA9MZ,Animal
meat,vegetarian,Proportion,0.0769610411361284,NA,0.9770244500197556,-1.8325814637483102,1.415853163361435,1.0084157602674984,Restaurant,2HRX9P6HKXA8V,Animal
meat,vegetarian,Proportion,-1.1394342831883648,NA,0.8823011886120569,-2.2072749131897207,-0.35667494393873245,1.0002694929771383,Restaurant,JHDN7CF1C03X5,Animal
meat,vegetarian,Proportion,0.9282193027394288,NA,1.0408541215449172,-1.4271163556401458,2.583997552432231,1.0010185296815857,Restaurant,L69HYJ4Y3TR91,Animal
meat,vegetarian,Proportion,-0.7339691750802004,NA,0.9093479188599256,-2.3025850929940455,0.43178241642553783,1.003897835851233,Restaurant,ED5J990H5VAZT,Animal
meat,vegetarian,Proportion,-1.8971199848858813,NA,0.8104837921711332,-3.506557897319982,-0.8209805520698302,1.001520307865696,Restaurant,W8T41JZK0ZMEP,Animal
chicken_fish,mpbamod,Count,0.009950330853168092,NA,1.0003573445035776,-0.15082288973458366,0.14842000511827322,1.0045146174658588,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,mpbamod,Count,0.02955880224154443,NA,1.003118438232286,0,0.06765864847381486,1.000852033782686,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,mpbamod,Count,-0.020202707317519466,NA,0.9974392803434834,-0.3285040669720361,0.12221763272424911,1.0076648404001753,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,mpbamod,Count,-0.020202707317519466,NA,0.9984248816558694,-0.06187540371808753,0.02955880224154443,1.0072604438540667,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,mpbamod,Count,0.009950330853168092,NA,1.0012422744944367,-0.01005033585350145,0.03922071315328133,1.0005778270063872,Restaurant,W8T41JZK0ZMEP,Animal
chicken_fish,mpbamod,Proportion,2.5160822672564502,NA,1.0218224901959778,-3.506557897319982,3.2499868198932536,1.002108161089199,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,mpbamod,Proportion,3.2857865301508276,NA,1.3506683409126945,1.4134230285081433,4.498252903642014,1.0001984173481606,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,mpbamod,Proportion,2.7587433154177283,NA,0.972186077326605,-Inf,3.209633243501268,1.0001520880962032,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,mpbamod,Proportion,-0.9942522733438669,NA,0.89484027193968,-2.120263536200091,-0.11653381625595151,1.000412496770077,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,mpbamod,Proportion,0.9321640810304452,NA,1.0740865589847506,-0.6733445532637656,2.0412203288596382,0.9999429075602981,Restaurant,W8T41JZK0ZMEP,Animal
chicken_fish,vegan,Count,-0.05129329438755058,NA,0.994883665605832,-0.21072103131565253,0.10436001532424286,1.0016365618911147,Restaurant,2HRX9P6HKXA8V,Animal
chicken_fish,vegan,Count,-0.05129329438755058,NA,0.9947677316068063,-0.07257069283483537,-0.030459207484708574,1.000930938934107,Restaurant,JHDN7CF1C03X5,Animal
chicken_fish,vegan,Count,0.17395330712343798,NA,1.017411968892243,-0.01005033585350145,0.3576744442718159,1.0011532465493074,Restaurant,L69HYJ4Y3TR91,Animal
chicken_fish,vegan,Count,0.4252677354043441,NA,1.0426853293947025,0.1906203596086497,0.6575200029167941,1.00379887083133,Restaurant,ED5J990H5VAZT,Animal
chicken_fish,vegan,Count,0.009950330853168092,NA,1.0014497916447473,-0.01005033585350145,0.03922071315328133,1.002024503245485,Restaurant,W8T41JZK0ZMEP,Animal
