outcome,exposure_group,exposure_type,mean,q2.5,q97.5,rhat,estimate_type,restaurant_id,color_group
vegetarian,vegetarian,Count,1.01,0.93,1.09,1.0023203403770073,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,vegetarian,Count,1.04,1.02,1.05,1.0010344299180587,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,vegetarian,Count,1.07,1.03,1.12,1.0019680354201632,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,vegetarian,Count,1.14,1.11,1.17,1.0017010836300153,Restaurant,ED5J990H5VAZT,Plant-based
vegetarian,vegetarian,Count,1.02,1.01,1.03,1.0002430824783528,Restaurant,W8T41JZK0ZMEP,Plant-based
vegetarian,vegetarian,Proportion,1.2465589459156394,1.1810366972594708,1.315664333309365,1.0047576830978655,Restaurant,SRQS8F7JWA9MZ,Plant-based
vegetarian,vegetarian,Proportion,1.1504098812614143,0.9146993820210588,1.3006036765548292,1.0552702171742432,Restaurant,2HRX9P6HKXA8V,Plant-based
vegetarian,vegetarian,Proportion,1.23775373256625,1.1382280564892693,1.3385872669449204,1.0053372468843143,Restaurant,JHDN7CF1C03X5,Plant-based
vegetarian,vegetarian,Proportion,1.2654437265056175,1.1298478663808444,1.4634541439225353,1.0143593867429612,Restaurant,L69HYJ4Y3TR91,Plant-based
vegetarian,vegetarian,Proportion,1.2615444990855458,1.1741482476364071,1.3754200198893933,1.0139991630865315,Restaurant,ED5J990H5VAZT,Plant-based
